employee_id,name,password,salary,type
4791173,Benjamin,hbdpqtltyk,170339,staff
5399506,Katelynn,fvdfwsfdkf,402540,staff
3989020,Mercedes,sgeasrehro,277614,staff
2012332,Mozelle,azqdmkiqdr,471362,staff
7092301,Del,lrxjbwlvei,213590,staff
5956636,Violette,ctmlcmwerf,556380,staff
6043956,Lawrence,aucmddgoba,976102,staff
3583909,Aileen,lsgcptjubx,770802,staff
6382325,Curtis,krlfypksns,331412,staff
3102917,Leanna,ayuliynuns,449231,staff
7542190,Mohamed,xsudwmtyba,380653,staff
9724220,Cody,adtngvobvt,610418,staff
5486748,Ariel,nzowynbpbt,804848,staff
5914608,Lia,cobeumyfge,871917,staff
2939778,Bette,zfpwebvjva,362317,staff
3087430,Dan,zhwilyuxbh,438014,staff
9269914,Alfonzo,sckxobusuw,834453,staff
8105141,Donnie,ntpszxcqwl,629911,staff
2146627,Freida,loukvnengd,589437,staff
1343218,Merrill,darkakhpjg,914755,staff
